title,published,link,summary,source,geopolitical_risk_score
"Mortgage and refinance rates today, March 10, 2026: Minor moves",2026-03-10 10:00:31+00:00,https://finance.yahoo.com/personal-finance/mortgages/article/mortgage-refinance-rates-today-tuesday-march-10-2026-100031024.html,,Yahoo Finance (Global),0.0
Gold IRA vs. physical gold: Which is the better investment?,2026-03-10 22:46:54+00:00,https://finance.yahoo.com/personal-finance/investing/article/gold-ira-vs-physical-gold-224654072.html,,Yahoo Finance (Global),0.0
"As Dell Technologies Raises Its Dividend 20%, Should You Buy DELL Stock?",2026-03-10 23:30:02+00:00,https://finance.yahoo.com/news/dell-technologies-raises-dividend-20-233002703.html,,Yahoo Finance (Global),0.0
Investors Rotate Into Mid-Cap Energy Names as Big Oil Stalls,2026-03-10 23:30:00+00:00,https://finance.yahoo.com/news/investors-rotate-mid-cap-energy-233000385.html,,Yahoo Finance (Global),0.0
Bitcoin price can hit $1m if store-of-value market continues breakneck growth: Bitwise,2026-03-10 22:54:01+00:00,https://finance.yahoo.com/news/bitcoin-price-hit-1m-store-225401791.html,,Yahoo Finance (Global),0.0
Kroger (KR) Stock Gets Price Target Boost from Evercore; the Company Projects 1%–2% Comparable Sales Growth for 2026,2026-03-11 00:52:04+00:00,https://finance.yahoo.com/news/kroger-kr-stock-gets-price-005204424.html,,Yahoo Finance (Global),0.0
Wolfe Research Turns Neutral on Starbucks (SBUX) amid Competitive Coffee Market,2026-03-11 00:56:35+00:00,https://finance.yahoo.com/news/wolfe-research-turns-neutral-starbucks-005635674.html,,Yahoo Finance (Global),0.0
"UBS Boosts Altria (MO) Price Target, Sees Slower Industry Cigarette Volume Declines",2026-03-11 00:58:32+00:00,https://finance.yahoo.com/news/ubs-boosts-altria-mo-price-005832299.html,,Yahoo Finance (Global),0.0
Deutsche Bank Lowers Accenture (ACN) Target as it Maintains Hold View,2026-03-11 01:05:00+00:00,https://finance.yahoo.com/news/deutsche-bank-lowers-accenture-acn-010500672.html,,Yahoo Finance (Global),0.0
Fund Slashes Magnite Stake by $13 Million as Ad Tech Firm Posts $714 Million Revenue Year,2026-03-10 22:59:04+00:00,https://finance.yahoo.com/news/fund-slashes-magnite-stake-13-225904347.html,,Yahoo Finance (Global),0.0
Scotiabank Lifts AT&T (T) Price Target after Positive Industry Signals,2026-03-11 01:11:04+00:00,https://finance.yahoo.com/news/scotiabank-lifts-t-t-price-011104967.html,,Yahoo Finance (Global),0.0
"Deutsche Bank Sees Higher Value in Honeywell (HON), Raises Price Target",2026-03-11 01:17:09+00:00,https://finance.yahoo.com/news/deutsche-bank-sees-higher-value-011709476.html,,Yahoo Finance (Global),0.0
BofA Reduces American Express (AXP) Price Target During Consumer Finance Review,2026-03-11 01:21:30+00:00,https://finance.yahoo.com/news/bofa-reduces-american-express-axp-012130994.html,,Yahoo Finance (Global),0.0
"Citi Boosts Caterpillar (CAT) Price Objective, Sees Strong U.S. Construction Activity",2026-03-11 01:23:33+00:00,https://finance.yahoo.com/news/citi-boosts-caterpillar-cat-price-012333755.html,,Yahoo Finance (Global),0.0
"Scotiabank Lowers Oracle (ORCL) Price Objective, Sees Strength in AI-Accelerated Cloud",2026-03-11 01:25:25+00:00,https://finance.yahoo.com/news/scotiabank-lowers-oracle-orcl-price-012525113.html,,Yahoo Finance (Global),0.0
BofA Lowers Capital One (COF) Price Objective on Weaker Market Multiples,2026-03-11 01:27:27+00:00,https://finance.yahoo.com/news/bofa-lowers-capital-one-cof-012727872.html,,Yahoo Finance (Global),0.0
"VNET Group (VNET) Soars 14.7% as Earnings Loom, Double-Digit Growth Eyed",2026-03-11 01:55:05+00:00,https://finance.yahoo.com/news/vnet-group-vnet-soars-14-015505964.html,,Yahoo Finance (Global),0.0
NIO Inc. (NIO) Skyrockets 15% as Firm Targets ‘More-Than-Double’ Revenue Growth,2026-03-11 02:03:34+00:00,https://finance.yahoo.com/news/nio-inc-nio-skyrockets-15-020334625.html,,Yahoo Finance (Global),0.0
