title,published,link,summary,source,geopolitical_risk_score
"Mortgage and refinance rates today, March 10, 2026: Minor moves",2026-03-10 10:00:31+00:00,https://finance.yahoo.com/personal-finance/mortgages/article/mortgage-refinance-rates-today-tuesday-march-10-2026-100031024.html,,Yahoo Finance (Global),0.0
Deleted Tweet From Energy Secretary Sends Oil Markets on Another Wild Ride,2026-03-10 22:51:00+00:00,https://www.wsj.com/finance/stocks/deleted-tweet-from-energy-secretary-sends-oil-markets-on-another-wild-ride-a40df578?siteid=yhoof2&yptr=yahoo,,Yahoo Finance (Global),0.0
Factbox-Tech companies tap debt markets to fund AI and cloud expansion,2026-03-10 22:54:11+00:00,https://finance.yahoo.com/news/factbox-tech-companies-tap-debt-225411778.html,,Yahoo Finance (Global),0.0
"Diesel markets, upended by Middle East conflict, threaten global economic slowdown",2026-03-10 23:45:02+00:00,https://finance.yahoo.com/news/diesel-markets-upended-middle-east-233832629.html,,Yahoo Finance (Global),0.1111111111111111
Bitcoin price can hit $1m if store-of-value market continues breakneck growth: Bitwise,2026-03-10 22:54:01+00:00,https://finance.yahoo.com/news/bitcoin-price-hit-1m-store-225401791.html,,Yahoo Finance (Global),0.0
Wolfe Research Turns Neutral on Starbucks (SBUX) amid Competitive Coffee Market,2026-03-11 00:56:35+00:00,https://finance.yahoo.com/news/wolfe-research-turns-neutral-starbucks-005635674.html,,Yahoo Finance (Global),0.0
Bank of America Stays Bullish on CSX amid Solid Railroad Operating Performance,2026-03-11 01:01:11+00:00,https://finance.yahoo.com/news/bank-america-stays-bullish-csx-010111011.html,,Yahoo Finance (Global),0.0
Deutsche Bank Lowers Accenture (ACN) Target as it Maintains Hold View,2026-03-11 01:05:00+00:00,https://finance.yahoo.com/news/deutsche-bank-lowers-accenture-acn-010500672.html,,Yahoo Finance (Global),0.0
Fund Slashes Magnite Stake by $13 Million as Ad Tech Firm Posts $714 Million Revenue Year,2026-03-10 22:59:04+00:00,https://finance.yahoo.com/news/fund-slashes-magnite-stake-13-225904347.html,,Yahoo Finance (Global),0.0
BofA Lowers Capital One (COF) Price Objective on Weaker Market Multiples,2026-03-11 01:27:27+00:00,https://finance.yahoo.com/news/bofa-lowers-capital-one-cof-012727872.html,,Yahoo Finance (Global),0.0
"Stock Market Today, March 10: Oil Prices Drop on G7 Talks",2026-03-10 23:01:50+00:00,https://finance.yahoo.com/news/stock-market-today-march-10-230150302.html,,Yahoo Finance (Global),0.0
